%Flight DepDate Aircraft
1 02/09/24 A320#1
2 02/09/24 A320#1
3 02/09/24 A320#1
4 02/09/24 A320#1
5 02/09/24 B737#1
6 02/09/24 B737#1
7 02/09/24 B737#1
8 02/09/24 B737#1
9 02/09/24 B737#1
10 02/09/24 A320#2
11 02/09/24 A320#2
12 02/09/24 A320#2
13 02/09/24 A320#2
14 02/09/24 A320#3
15 02/09/24 A320#3
16 02/09/24 A320#3
17 02/09/24 A320#3
18 02/09/24 A320#3
19 02/09/24 B737#2
20 02/09/24 B737#2
21 02/09/24 B737#2
22 02/09/24 B737#2
23 02/09/24 B737#2
24 02/09/24 B737#3
25 02/09/24 B737#3
26 02/09/24 B737#3
27 02/09/24 B737#4
28 02/09/24 B737#4
29 02/09/24 B737#4
30 02/09/24 B737#4
31 02/09/24 A320#4
32 02/09/24 A320#4
#
